Page,PageComplete,Type,Accession,Code,Catalog
5,True,SKINS,11889,E,124838
5,True,SKINS,11889,E,124839
5,True,SKINS,11889,E,124840
5,True,SKINS,11889,E,124841
5,True,SKINS,11889,E,124842
5,True,SKINS,11889,E,124843
5,True,SKINS,11889,E,124844
5,True,SKINS,11889,E,124845
5,True,SKINS,11889,E,124846
5,True,SKINS,11889,E,124847
5,True,SKINS,11889,E,124848
5,True,SKINS,11889,E,124849
5,True,SKINS,11889,E,124850
5,True,SKINS,11889,E,124851
5,True,SKINS,11889,E,124852
5,True,SKINS,11889,E,124853
5,True,SKINS,11889,E,124854
5,True,SKINS,11889,E,124855
5,True,SKINS,11889,E,124856
5,True,SKINS,11889,E,124857
5,True,SKINS,11889,E,124858
5,True,SKINS,11889,E,124859
5,True,SKINS,11889,E,124860
5,True,SKINS,11889,E,124861
5,True,SKINS,11889,E,124862
5,True,SKINS,11889,E,124863
5,True,SKINS,11889,E,124864
5,True,SKINS,11889,E,124865
5,True,SKINS,11889,E,124866
5,True,SKINS,11889,E,124867
5,True,SKINS,11889,E,124868
5,True,SKINS,11967,E,122972
5,True,SKINS,11969,E,123598
5,True,SKINS,11969,E,123728
5,True,SKINS,12057,E,124869
5,True,SKINS,12170,E,123921
5,True,SKINS,12170,E,123975
5,True,SKINS,12170,E,123993
5,True,SKINS,12170,E,124043
5,True,SKINS,12170,E,124045
5,True,SKINS,12170,E,124065
5,True,SKINS,12170,E,124110
5,True,SKINS,12170,E,124111
5,True,SKINS,12170,E,124119
5,True,SKINS,12170,E,124178
5,True,SKINS,12170,E,124195
5,True,SKINS,12170,E,124215
5,True,SKINS,12170,E,124216
5,True,SKINS,12170,E,124256
5,True,SKINS,12170,E,124376
5,True,SKINS,12170,E,124534
5,True,SKINS,12170,E,124885
5,True,SKINS,12170,G,124719
5,True,SKINS,12171,E,124779
5,True,SKINS,12171,E,124870
5,True,SKINS,12171,E,124871
5,True,SKINS,12171,E,124872
5,True,SKINS,12171,E,124873
5,True,SKINS,12171,E,124874
5,True,SKINS,12171,E,124875
5,True,SKINS,12171,E,124876
5,True,SKINS,12171,E,124877
5,True,SKINS,12171,E,124878
5,True,SKINS,12171,E,124879
5,True,SKINS,12171,E,124880
5,True,SKINS,12171,E,124881
5,True,SKINS,12171,G,124882
5,True,SKINS,12179,E,124987
5,True,SKINS,12543,E,125000
5,True,SKINS,12544,E,125068
5,True,SKINS,12545,E,125107
5,True,SKINS,12545,E,125108
5,True,SKINS,12545,E,125109
5,True,SKINS,12545,E,125110
5,True,SKINS,12545,E,125111
5,True,SKINS,12545,E,125112
5,True,SKINS,12545,E,125113
5,True,SKINS,12545,E,125114
5,True,SKINS,12545,E,125115
5,True,SKINS,12545,E,125116
5,True,SKINS,12545,E,125117
5,True,SKINS,12545,E,125118
5,True,SKINS,12545,E,125119
5,True,SKINS,12545,E,125120
5,True,SKINS,12545,E,125121
5,True,SKINS,12545,E,125122
5,True,SKINS,12545,E,125123
5,True,SKINS,12545,E,125124
5,True,SKINS,12545,E,125125
5,True,SKINS,12545,E,125126
5,True,SKINS,12545,E,125127
5,True,SKINS,12545,E,125128
5,True,SKINS,12545,E,125129
5,True,SKINS,12545,E,125130
5,True,SKINS,12545,E,125131
5,True,SKINS,12545,E,125132
5,True,SKINS,12545,E,125133
5,True,SKINS,12545,E,125134
5,True,SKINS,12545,E,125135
5,True,SKINS,12545,E,125136
5,True,SKINS,12545,E,125137
5,True,SKINS,12545,E,125138
5,True,SKINS,12545,E,125139
5,True,SKINS,12545,E,125140
5,True,SKINS,12545,E,125141
5,True,SKINS,12545,E,125142
5,True,SKINS,12545,E,125143
5,True,SKINS,12545,E,125144
5,True,SKINS,12545,E,125145
5,True,SKINS,12545,E,125146
5,True,SKINS,12545,E,125147
5,True,SKINS,12545,E,125148
5,True,SKINS,12545,E,125149
5,True,SKINS,12545,E,125150
5,True,SKINS,12545,E,125151
6,True,SKINS,1285,E,4704
6,True,SKINS,1285,E,4705
6,True,SKINS,1285,E,4706
6,True,SKINS,1285,E,4707
6,True,SKINS,1285,E,4708
6,True,SKINS,1285,E,4709
6,True,SKINS,1285,E,4710
6,True,SKINS,1285,E,4711
6,True,SKINS,1285,E,4712
6,True,SKINS,1285,E,4713
6,True,SKINS,1285,E,4714
6,True,SKINS,1285,E,4715
6,True,SKINS,1285,E,4716
6,True,SKINS,1285,E,4717
6,True,SKINS,1285,E,4718
6,True,SKINS,1285,E,4719
6,True,SKINS,1285,E,4720
6,True,SKINS,1285,E,4721
6,True,SKINS,1285,E,4722
6,True,SKINS,1285,E,4723
6,True,SKINS,1285,E,4724
6,True,SKINS,1288,E,4726
6,True,SKINS,12545,E,125152
6,True,SKINS,12545,E,125153
6,True,SKINS,12545,E,125154
6,True,SKINS,12545,E,125155
6,True,SKINS,12545,E,125156
6,True,SKINS,12545,E,125157
